GB_Yield_Total,GK_Yield_Total,Rasio_GK_GB,GB_Kadar_Air_Mean,Cetak_Yield_Kg,Cetak_Pct_Teoritis,Kemas_Pct_Teoritis,Total_Waste_Kg,Cetak_Durasi_Hari,Kemas_Durasi_Hari,Bulan_Produksi,Defect_Overall,Material_Description,Cluster,Cluster_Label,PCA1,PCA2
464.4,330.1,0.7108096468561586,4.59,777.0,0.97125,0.970436,0.0,0.0,2.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8976150797538951,0.07195121097201876
466.1,330.11,0.7082385754130015,4.636666666666667,478.0,0.5975,0.57728,0.0,0.0,0.0,1.0,1,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-3.2252858707494827,-3.310763367707163
464.7,329.9,0.7099203787389714,4.596666666666667,775.0,0.96875,0.960732,0.0,1.0,3.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9390943905858827,0.02065182627050468
464.0,330.0,0.7112068965517241,4.666666666666667,775.0,0.96875,0.965608,0.0,0.0,0.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9039834018425437,0.04517614010990153
463.0,320.2,0.6915766738660907,4.586666666666666,773.0,0.96625,0.965508,0.0,1.0,1.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9668477596678005,0.044088585204219675
463.0,330.3,0.713390928725702,4.6066666666666665,780.0,0.975,0.973552,0.0,0.0,1.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.8653718498715606,0.10669919697689553
462.7,330.3,0.7138534687702616,4.636666666666667,773.0,0.96625,0.964952,0.0,1.0,1.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9259403313372994,0.040562313656722214
467.5,330.2,0.7063101604278075,4.57,777.0,0.97125,0.9709,0.0,0.0,3.0,1.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9075794227927746,0.06606786671129275
462.3,330.0,0.7138221933809215,4.593333333333333,773.0,0.96625,0.960896,0.0,0.0,1.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9273989278751178,0.09259785268419124
465.6,330.0,0.7087628865979381,4.756666666666667,775.0,0.96875,0.968204,0.0,0.0,2.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.925538042140157,0.1351660074817893
462.4,330.0,0.7136678200692042,4.59,773.0,0.96625,0.966804,0.0,1.0,0.0,2.0,0,BODREX EXTRA KAPLET/4'S,2,🔴 High Risk,-0.9159479033076365,0.13228206901838058
